alphabet_size,group_size,num_blocks,num_threads,duration,use_shmem,GPU_name
4096,1,8704,64,113166544,0,NVIDIA GeForce RTX 2080 Ti
4096,1,4352,128,112666232,0,NVIDIA GeForce RTX 2080 Ti
4096,1,2176,256,109773703,0,NVIDIA GeForce RTX 2080 Ti
4096,1,1088,512,164400752,1,NVIDIA GeForce RTX 2080 Ti
4096,1,544,1024,113748710,1,NVIDIA GeForce RTX 2080 Ti
8192,1,1088,64,151003867,0,NVIDIA GeForce RTX 2080 Ti
8192,1,544,128,137738291,0,NVIDIA GeForce RTX 2080 Ti
8192,1,272,256,139022283,0,NVIDIA GeForce RTX 2080 Ti
8192,1,136,512,138762358,0,NVIDIA GeForce RTX 2080 Ti
8192,1,68,1024,200658412,1,NVIDIA GeForce RTX 2080 Ti
8192,1,2176,64,134830239,0,NVIDIA GeForce RTX 2080 Ti
8192,1,1088,128,135605021,0,NVIDIA GeForce RTX 2080 Ti
8192,1,544,256,135475396,0,NVIDIA GeForce RTX 2080 Ti
8192,1,272,512,136173872,0,NVIDIA GeForce RTX 2080 Ti
8192,1,136,1024,196316320,1,NVIDIA GeForce RTX 2080 Ti
8192,1,4352,64,128990209,0,NVIDIA GeForce RTX 2080 Ti
8192,1,2176,128,129258582,0,NVIDIA GeForce RTX 2080 Ti
8192,1,1088,256,127800877,0,NVIDIA GeForce RTX 2080 Ti
8192,1,544,512,130157699,0,NVIDIA GeForce RTX 2080 Ti
8192,1,272,1024,194244906,1,NVIDIA GeForce RTX 2080 Ti
8192,1,8704,64,129197058,0,NVIDIA GeForce RTX 2080 Ti
8192,1,4352,128,128542166,0,NVIDIA GeForce RTX 2080 Ti
8192,1,2176,256,125651922,0,NVIDIA GeForce RTX 2080 Ti
8192,1,1088,512,124479820,0,NVIDIA GeForce RTX 2080 Ti
8192,1,544,1024,186180110,1,NVIDIA GeForce RTX 2080 Ti
16384,1,1088,64,171879887,0,NVIDIA GeForce RTX 2080 Ti
16384,1,544,128,154357448,0,NVIDIA GeForce RTX 2080 Ti
16384,1,272,256,155002352,0,NVIDIA GeForce RTX 2080 Ti
16384,1,136,512,154526325,0,NVIDIA GeForce RTX 2080 Ti
16384,1,68,1024,154121947,0,NVIDIA GeForce RTX 2080 Ti
16384,1,2176,64,151705925,0,NVIDIA GeForce RTX 2080 Ti
16384,1,1088,128,152142145,0,NVIDIA GeForce RTX 2080 Ti
16384,1,544,256,151849349,0,NVIDIA GeForce RTX 2080 Ti
16384,1,272,512,152216580,0,NVIDIA GeForce RTX 2080 Ti
16384,1,136,1024,154293242,0,NVIDIA GeForce RTX 2080 Ti
16384,1,4352,64,145580152,0,NVIDIA GeForce RTX 2080 Ti
16384,1,2176,128,144902859,0,NVIDIA GeForce RTX 2080 Ti
16384,1,1088,256,144650736,0,NVIDIA GeForce RTX 2080 Ti
